Sample,x_Maximum peaks,x_Mean,x_Zero crossing rate
0,0.0,-0.04059141999999989,1.0
1,1.0,0.34706420280000005,1.0
2,2.0,0.47972106800000003,0.0
3,1.0,0.7046600279999999,0.0
4,0.0,0.96309509,0.0
5,0.0,1.01961668,0.0
6,1.0,0.9443573000000001,0.0
7,1.0,1.0684936399999998,0.0
8,1.0,1.00832823,0.0
9,0.0,0.888677966,0.0
10,0.0,1.064694218,0.0
11,1.0,1.3890441800000002,0.0
12,1.0,0.9838379000000002,0.0
13,0.0,0.9373870819999999,0.0
14,1.0,0.6954925519999999,0.0
15,1.0,0.7006927479999999,0.0
16,0.0,0.257635498,0.0
17,0.0,0.279504396,0.0
18,1.0,0.6050445599999998,0.0
19,1.0,1.031570452,0.0
20,1.0,1.51694948,0.0
21,0.0,0.72366029,0.0
22,0.0,0.41318970200000005,0.0
23,0.0,0.3762298599999999,0.0
24,0.0,0.712701414,0.0
25,0.0,0.8738525240000001,0.0
26,0.0,0.716409302,0.0
27,0.0,0.9546692,0.0
28,1.0,1.3657409600000001,0.0
29,1.0,1.0872467000000001,0.0
30,0.0,0.447854608,0.0
31,1.0,0.9584258880000001,0.0
32,0.0,1.1131073,0.0
33,0.0,1.3458191000000002,0.0
34,0.0,0.585693362,0.0
35,0.0,0.55622558,0.0
36,1.0,0.8347778279999998,0.0
37,1.0,0.7819091840000001,0.0
38,1.0,0.893789664,0.0
39,1.0,1.20944214,0.0
40,0.0,0.9953430000000001,0.0
41,1.0,0.7631530740000001,0.0
42,1.0,1.01693726,0.0
43,1.0,0.913879384,0.0
44,0.0,1.015335082,0.0
45,1.0,1.1896576,0.0
46,0.0,0.640576172,0.0
47,0.0,0.799554444,0.0
48,1.0,1.0676483079999999,0.0
49,1.0,0.9268280040000001,0.0
50,0.0,0.700573726,0.0
51,0.0,0.95921632,0.0
52,1.0,1.0215454,0.0
53,0.0,1.0684539800000001,0.0
54,0.0,0.9384399379999999,0.0
55,0.0,0.8548828199999999,0.0
56,0.0,0.6847442559999999,0.0
57,1.0,0.8879028360000001,0.0
58,0.0,0.5832977260000001,0.0
59,1.0,0.19552917599999997,0.0
60,0.0,0.6629699760000001,0.0
61,0.0,0.9022613459999999,0.0
62,0.0,0.7342498880000001,0.0
63,1.0,0.5330444400000001,0.0
64,1.0,0.59817505,0.0
65,1.0,0.61114197,0.0
66,1.0,0.4221130358,1.0
67,0.0,0.142333982,0.0
68,1.0,0.72782898,0.0
69,0.0,0.453936766,0.0
70,0.0,0.4569976779999999,0.0
71,1.0,0.779046628,0.0
72,0.0,0.5440948520000001,0.0
73,1.0,0.357653808,0.0
74,0.0,0.046578980660000005,2.0
75,0.0,0.4702270520000001,0.0
76,1.0,0.940170288,0.0
77,0.0,0.54840698,0.0
78,1.0,0.42097473,0.0
79,1.0,0.466079714,0.0
80,0.0,0.424435424,0.0
81,0.0,0.5416107139999999,0.0
82,1.0,0.727307126,0.0
83,1.0,0.6349823059999999,0.0
84,1.0,0.43335571400000006,0.0
85,0.0,0.49014588000000003,0.0
86,1.0,0.502978518,0.0
87,1.0,0.5682739299999999,0.0
88,1.0,0.6562469400000001,0.0
89,1.0,0.685751338,0.0
90,0.0,0.5745910660000001,0.0
91,1.0,0.583270262,0.0
92,1.0,0.6108032179999999,0.0
93,0.0,0.69832459,0.0
94,0.0,0.6952270520000001,0.0
95,1.0,0.661468502,0.0
96,0.0,0.664938354,0.0
97,0.0,0.680209348,0.0
98,0.0,0.61835938,0.0
99,1.0,0.65793458,0.0
100,1.0,0.6966674660000001,0.0
101,0.0,0.5960693420000001,0.0
102,1.0,0.596127318,0.0
103,0.0,0.654486086,0.0
104,0.0,0.7732574480000001,0.0
105,1.0,0.66520082,0.0
106,1.0,0.705789184,0.0
107,0.0,0.5967224200000001,0.0
108,1.0,0.6961608800000001,0.0
109,1.0,0.8143035879999999,0.0
110,1.0,0.6655395519999999,0.0
111,1.0,0.622317518,0.0
112,1.0,0.70825806,0.0
113,0.0,0.7971038779999999,0.0
114,1.0,0.737805168,0.0
115,1.0,0.7216003520000001,0.0
116,2.0,0.7261718659999999,0.0
117,0.0,0.707345584,0.0
118,0.0,0.728143306,0.0
119,1.0,0.8501373219999999,0.0
120,1.0,0.761300654,0.0
121,0.0,0.759127806,0.0
122,0.0,0.811065674,0.0
123,0.0,0.8315185699999998,0.0
124,1.0,0.7506164479999999,0.0
125,0.0,0.7440002520000001,0.0
126,0.0,0.793490606,0.0
127,0.0,1.0398681719999998,0.0
128,0.0,0.828842166,0.0
129,0.0,0.797204586,0.0
130,1.0,0.8880523659999999,0.0
131,1.0,0.8489715600000001,0.0
132,1.0,0.7560455300000001,0.0
133,0.0,0.8708312920000001,0.0
134,1.0,0.9739867980000001,0.0
135,0.0,0.836212154,0.0
136,1.0,0.8114440940000002,0.0
137,1.0,0.929418948,0.0
138,0.0,0.8937469480000001,0.0
139,0.0,0.8521545359999999,0.0
140,1.0,0.8525512660000001,0.0
141,0.0,0.888690186,0.0
142,1.0,0.952563474,0.0
143,1.0,0.9055328300000001,0.0
144,0.0,0.8295715300000002,0.0
145,0.0,0.807559204,0.0
146,0.0,0.96390074,0.0
147,0.0,0.8565948480000001,0.0
148,0.0,0.6612060580000001,0.0
149,1.0,0.971704094,0.0
150,0.0,0.9345672579999998,0.0
151,1.0,0.888076788,0.0
152,1.0,0.7933258000000001,0.0
153,0.0,0.745132444,0.0
154,0.0,0.753652958,0.0
155,1.0,0.844494632,0.0
156,0.0,0.8825408920000001,0.0
157,1.0,0.8662597660000001,0.0
158,0.0,0.86510315,0.0
159,0.0,0.6974151500000001,0.0
160,0.0,0.759024052,0.0
161,0.0,0.79277649,0.0
162,1.0,0.8726379420000001,0.0
163,1.0,0.84863892,0.0
164,0.0,0.75412597,0.0
165,1.0,0.721456918,0.0
166,0.0,0.770886232,0.0
167,1.0,0.8578979520000001,0.0
168,0.0,0.7513763360000001,0.0
169,0.0,0.767868052,0.0
170,0.0,0.824609382,0.0
171,0.0,0.8043609700000001,0.0
172,1.0,0.885427862,0.0
173,0.0,0.7325286820000001,0.0
174,1.0,0.80227357,0.0
175,0.0,0.781292732,0.0
176,0.0,0.8304962120000001,0.0
177,1.0,0.8770568759999999,0.0
178,1.0,0.8842681899999999,0.0
179,1.0,0.7909210160000001,0.0
180,0.0,0.760397342,0.0
181,1.0,0.9151306120000001,0.0
182,1.0,0.894235228,0.0
183,1.0,0.8937316799999999,0.0
184,0.0,0.760357664,0.0
185,1.0,0.8452026399999999,0.0
186,0.0,0.8441497819999999,0.0
187,1.0,0.9634674000000001,0.0
188,0.0,0.950531,0.0
189,0.0,0.763732914,0.0
190,1.0,0.8934783979999998,0.0
191,1.0,0.87381897,0.0
192,0.0,0.935037232,0.0
193,1.0,0.9006500259999999,0.0
194,0.0,0.7644622739999999,0.0
195,1.0,0.917776484,0.0
196,0.0,0.8627075139999999,0.0
197,1.0,0.9726104759999998,0.0
198,0.0,0.7620574899999999,0.0
199,0.0,0.776702882,0.0
200,0.0,0.910711672,0.0
201,0.0,0.844747922,0.0
202,1.0,0.765335086,0.0
203,1.0,0.833148188,0.0
204,0.0,0.7880523719999999,0.0
205,1.0,0.790774528,0.0
206,1.0,0.8377349900000001,0.0
207,0.0,0.8401001060000001,0.0
208,0.0,0.6811248799999999,0.0
209,0.0,0.7003997839999999,0.0
210,1.0,0.9323852519999999,0.0
211,0.0,0.74447021,0.0
212,0.0,0.768133542,0.0
213,1.0,0.8570831379999999,0.0
214,0.0,0.717980952,0.0
215,1.0,0.714221188,0.0
216,0.0,0.836309812,0.0
217,0.0,0.8249939019999999,0.0
218,0.0,0.8173553459999999,0.0
219,1.0,0.8640625,0.0
220,1.0,0.8049377480000001,0.0
221,0.0,0.726666264,0.0
222,1.0,0.830181896,0.0
223,0.0,0.819711306,0.0
224,1.0,0.7789886420000001,0.0
225,0.0,0.7480071939999999,0.0
226,0.0,0.762411492,0.0
227,1.0,1.0738312,0.0
228,0.0,0.94293212,0.0
229,0.0,0.8309417760000001,0.0
230,1.0,0.812387088,0.0
231,0.0,0.7789825400000001,0.0
232,1.0,0.9597351060000001,0.0
233,1.0,0.961785884,0.0
234,0.0,0.9272003200000001,0.0
235,0.0,0.9489959720000002,0.0
236,1.0,0.9750335800000001,0.0
237,0.0,0.8768096919999999,0.0
238,0.0,0.79066773,0.0
239,1.0,1.09520264,0.0
240,1.0,0.98712464,0.0
241,1.0,0.830120852,0.0
242,1.0,0.869802862,0.0
243,1.0,1.03592224,0.0
244,0.0,0.8774841280000001,0.0
245,0.0,0.8189483619999999,0.0
246,1.0,1.01661684,0.0
247,1.0,0.965744014,0.0
248,1.0,0.746826178,0.0
249,0.0,0.605514534,0.0
250,0.0,1.39441834,0.0
251,1.0,1.80874022,0.0
252,0.0,-0.86031495,1.0
253,0.0,0.790698216,1.0
254,1.0,1.8145630000000001,0.0
255,1.0,1.1315613,0.0
256,1.0,1.08127442,0.0
257,0.0,0.7743225180000002,0.0
258,0.0,0.420245362,0.0
259,0.0,0.6513702440000001,0.0
260,1.0,0.787356562,0.0
261,1.0,0.8207153359999999,0.0
262,1.0,0.7627807600000001,0.0
263,1.0,0.83723145,0.0
264,1.0,0.748083492,1.0
265,0.0,0.22131653199999998,1.0
266,0.0,1.2391143799999997,0.0
267,1.0,2.0132904,0.0
268,0.0,0.4173950054000001,0.0
269,0.0,0.1273895256,1.0
270,0.0,0.7837127660000001,0.0
271,0.0,0.9948455679999999,0.0
272,0.0,0.35296021,2.0
273,0.0,0.6969146700000001,0.0
274,0.0,1.3562530400000001,0.0
275,0.0,0.38099365199999996,2.0
276,0.0,0.7821808060000001,0.0
277,1.0,1.31434326,0.0
278,0.0,-0.21489563,1.0
279,0.0,0.7845611448000002,0.0
280,1.0,1.71279906,0.0
281,0.0,0.8225128039999999,0.0
282,0.0,0.30660400600000004,1.0
283,1.0,0.47602235000000004,1.0
284,0.0,1.7604980600000002,0.0
285,0.0,1.75322878,0.0
286,0.0,0.860086072,0.0
287,0.0,0.60807495,0.0
288,0.0,0.57271728,0.0
289,0.0,0.698028564,0.0
290,0.0,1.11288148,0.0
291,0.0,1.0994903400000002,0.0
292,0.0,0.648870842,0.0
293,0.0,0.6079345679999999,0.0
294,1.0,0.8413604720000001,0.0
295,0.0,0.958480836,0.0
296,0.0,0.900936894,0.0
297,0.0,1.2771575800000001,0.0
298,0.0,0.9496887399999998,0.0
299,0.0,0.491485598,0.0
300,1.0,0.425186156,0.0
301,0.0,0.46860961999999995,0.0
302,1.0,0.64060364,0.0
303,0.0,0.544784542,0.0
304,1.0,0.8041931,0.0
305,0.0,0.779977422,0.0
306,0.0,0.6340942359999999,0.0
307,0.0,0.32997435799999997,0.0
308,0.0,0.396121214,0.0
309,1.0,0.9867584199999999,0.0
310,0.0,1.0873565800000002,0.0
311,0.0,0.9278442199999999,0.0
312,0.0,0.411422724,0.0
313,0.0,0.15267639000000002,0.0
314,0.0,0.6760711660000001,0.0
315,1.0,1.10847778,0.0
316,0.0,0.6482696520000001,0.0
317,1.0,0.48409728799999996,0.0
318,0.0,0.23529358,0.0
319,0.0,0.517874144,0.0
320,1.0,0.804867546,0.0
321,1.0,0.64910584,0.0
322,1.0,0.437741088,0.0
323,1.0,0.6251068099999999,0.0
324,1.0,0.7603027360000001,0.0
325,1.0,0.8518402040000002,0.0
326,0.0,0.5961334199999999,0.0
327,0.0,0.5066833479999999,0.0
328,0.0,0.6357330240000001,0.0
329,0.0,0.73494568,0.0
330,1.0,0.90426635,0.0
331,1.0,0.866146852,0.0
332,0.0,0.719769292,0.0
333,1.0,0.5510894759999999,0.0
334,0.0,0.632626334,0.0
335,1.0,0.8558685200000001,0.0
336,1.0,0.9511169400000001,0.0
337,0.0,0.7613159199999999,0.0
